etiqueta,intento,latencia_total_seg,latencia_analitica_seg,ok
E1_A,1,0.0428,0.0005,True
E1_A,2,0.0088,0.0003,True
E1_A,3,0.0123,0.0007,True
E1_A,4,0.0101,0.0003,True
E1_A,5,0.0101,0.0004,True
E2_A,1,0.0015,0.0001,True
E2_A,2,0.0069,0.0003,True
E2_A,3,0.0043,0.0003,True
E2_A,4,0.0035,0.0002,True
E2_A,5,0.0108,0.0003,True
E1_B,1,0.002,0.0001,True
E1_B,2,0.0045,0.0003,True
E1_B,3,0.0097,0.0003,True
E1_B,4,0.0105,0.0002,True
E1_B,5,0.0052,0.0003,True
E2_B,1,0.0022,0.0002,True
E2_B,2,0.005,0.0006,True
E2_B,3,0.0021,0.0002,True
E2_B,4,0.0023,0.0003,True
E2_B,5,0.0028,0.0003,True
